Category_Name,Category_Url,Main_Category
Luchtverfrissers,https://www.plus.nl/producten/huishouden/luchtverfrissers,https://www.plus.nl/producten/huishouden
"Folie, huishoudzakken",https://www.plus.nl/producten/huishouden/folie-huishoudzakken,https://www.plus.nl/producten/huishouden
"Afvalzakken, stofzuigerzakken",https://www.plus.nl/producten/huishouden/afvalzakken-stofzuigerzakken,https://www.plus.nl/producten/huishouden
Snoep,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten/snoep,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten
Drop,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten/drop,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten
Chocolade,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten/chocolade,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten
"Kauwgom, pepermunt, keelsnoepjes",https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten/kauwgom-pepermunt-keelsnoepjes,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten
Koek,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten/koek,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten
"Chips, zoutjes",https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten/chips-zoutjes,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten
Noten,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten/noten,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten
Toast,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten/toast,https://www.plus.nl/producten/snoep-koek-chips-zoutjes-noten
Glutenvrij,https://www.plus.nl/producten/bewuste-voeding/glutenvrij,https://www.plus.nl/producten/bewuste-voeding
"Zoutarm, natriumarm",https://www.plus.nl/producten/bewuste-voeding/zoutarm-natriumarm,https://www.plus.nl/producten/bewuste-voeding
"Sportvoeding, afslankvoeding",https://www.plus.nl/producten/bewuste-voeding/sportvoeding-afslankvoeding,https://www.plus.nl/producten/bewuste-voeding
Suikerbewust,https://www.plus.nl/producten/bewuste-voeding/suikerbewust,https://www.plus.nl/producten/bewuste-voeding
"Natuurlijke, biologische voeding",https://www.plus.nl/producten/bewuste-voeding/natuurlijke-biologische-voeding,https://www.plus.nl/producten/bewuste-voeding
Superfood,https://www.plus.nl/producten/bewuste-voeding/superfood,https://www.plus.nl/producten/bewuste-voeding
IJs,https://www.plus.nl/producten/diepvries/ijs,https://www.plus.nl/producten/diepvries
Diepvries aardappelproducten,https://www.plus.nl/producten/diepvries/diepvries-aardappelproducten,https://www.plus.nl/producten/diepvries
Diepvries groente ,https://www.plus.nl/producten/diepvries/diepvries-groente,https://www.plus.nl/producten/diepvries
Diepvries fruit,https://www.plus.nl/producten/diepvries/diepvries-fruit,https://www.plus.nl/producten/diepvries
"Diepvries vlees, diepvries vis",https://www.plus.nl/producten/diepvries/diepvries-vlees-diepvries-vis,https://www.plus.nl/producten/diepvries
Diepvries  maaltijden,https://www.plus.nl/producten/diepvries/diepvries-maaltijden,https://www.plus.nl/producten/diepvries
Diepvries pizza,https://www.plus.nl/producten/diepvries/diepvries-pizza,https://www.plus.nl/producten/diepvries
Diepvries snacks,https://www.plus.nl/producten/diepvries/diepvries-snacks,https://www.plus.nl/producten/diepvries
"Diepvries gebak, bladerdeeg",https://www.plus.nl/producten/diepvries/diepvries-gebak-bladerdeeg,https://www.plus.nl/producten/diepvries
Diepvries dierenvoeding,https://www.plus.nl/producten/diepvries/diepvries-dierenvoeding,https://www.plus.nl/producten/diepvries
Soep,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers/soep,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers
Conserven,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers/conserven,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers
"Augurken, groenten in zuur, overig",https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers/augurken-groenten-in-zuur-overig,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers
Kruiden en specerijen,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers/kruiden-en-specerijen,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers
Snacksauzen en mayonaise,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers/snacksauzen-en-mayonaise,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers
"Groente-, vlees-, vissauzen",https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers/groente-vlees-vissauzen,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers
"Slasauzen, sladressings, slaversierders",https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers/slasauzen-sladressings-slaversierders,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers
Jus,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers/jus,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers
Olie en frituurvetten,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers/olie-en-frituurvetten,https://www.plus.nl/producten/soepen-conserven-sauzen-smaakmakers
