category_name,category_url
Frolic,https://www.dm.de/marken/frolic-67360
FruchtBar,https://www.dm.de/marken/fruchtbar-66948
FruchtTiger,https://www.dm.de/marken/fruchttiger-66946
FruchtZwerge,https://www.dm.de/marken/fruchtzwerge-66944
Fructis,https://www.dm.de/marken/fructis
Frusano,https://www.dm.de/marken/frusano-66938
FÜR,https://www.dm.de/marken/fuer-283610
Fuji,https://www.dm.de/marken/fuji-66936
Gabriela Sabatini,https://www.dm.de/marken/gabriela-sabatini-67996
Gala,https://www.dm.de/marken/gala-973498
Gard,https://www.dm.de/marken/gard-67994
Garnier,https://www.dm.de/marken/garnier
Garnier Mineral,https://www.dm.de/marken/garnier-mineral-518186
Garnier Skin Naturals,https://www.dm.de/marken/garnier-skin-naturals-518260
Geratherm,https://www.dm.de/marken/geratherm-288032
Gerstenberg,https://www.dm.de/marken/gerstenberg-67942
ghd,https://www.dm.de/marken/ghd-67938
Gillette,https://www.dm.de/marken/gillette
Gillette Satin Care,https://www.dm.de/marken/gillette-satin-care-288042
Gillette Venus,https://www.dm.de/marken/gillette-venus
GIMCAT,https://www.dm.de/marken/gimcat-67904
GIMDOG,https://www.dm.de/marken/gimdog-895660
Giorgio Armani,https://www.dm.de/marken/giorgio-armani-67900
Glade,https://www.dm.de/marken/glade-67894
Gliss Kur,https://www.dm.de/marken/gliss-kur
Glückstier,https://www.dm.de/marken/glueckstier-288052
Glysolid,https://www.dm.de/marken/glysolid-67624
Goldmann,https://www.dm.de/marken/goldmann-67622
Gollnest & Kiesel,https://www.dm.de/marken/gollnest-kiesel-419436
GOURMET,https://www.dm.de/marken/gourmet
green care,https://www.dm.de/marken/green-care-66622
Green Doc,https://www.dm.de/marken/green-doc-66620
Green Petfood,https://www.dm.de/marken/green-petfood-66618
Greendoor,https://www.dm.de/marken/greendoor-66616
GruenerSinnVerlag,https://www.dm.de/marken/gruenersinnverlag-419446
Grünspecht,https://www.dm.de/marken/gruenspecht-66614
GU,https://www.dm.de/marken/gu-66612
Guess,https://www.dm.de/marken/guess-66610
GUHL,https://www.dm.de/marken/guhl-66608
GUM,https://www.dm.de/marken/gum-288132
Guy Laroche,https://www.dm.de/marken/guy-laroche-821366
Hair Biology,https://www.dm.de/marken/hair-biology
Haka,https://www.dm.de/marken/haka-943680
Hammermühle,https://www.dm.de/marken/hammermuehle-66934
Handsan,https://www.dm.de/marken/handsan-66932
handz,https://www.dm.de/marken/handz-895888
Hanfama,https://www.dm.de/marken/hanfama-545854
Hansaplast,https://www.dm.de/marken/hansaplast-66928
Hape,https://www.dm.de/marken/hape-341236
happy rain,https://www.dm.de/marken/happy-rain-66924
happybrush,https://www.dm.de/marken/happybrush-66922
HappyPo,https://www.dm.de/marken/happypo-66920
Hardys Traum,https://www.dm.de/marken/hardys-traum-66918
Hartmann,https://www.dm.de/marken/hartmann-66916
HASK,https://www.dm.de/marken/hask-66914
Hawaiian Tropic,https://www.dm.de/marken/hawaiian-tropic-66910
Head & Shoulders,https://www.dm.de/marken/head-shoulders
Heimatgut,https://www.dm.de/marken/heimatgut-498574
Heitmann,https://www.dm.de/marken/heitmann-66906
Heitmann Pure,https://www.dm.de/marken/heitmann-pure-498716
