Product URL,Product image URL,Product name,Amount & unit,Price,Kod/Product code,Product Description
https://apspolska.pl/spodek-15cm-bel-kera-kolor-fioletowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/7bdc15f3eebd9e8032ecd8a71822d65b","Spodek 15cm Bel Kera, kolor fioletowy",,11.44,3.4.15 VIO,
https://apspolska.pl/miseczka-na-dip-80ml-kera-still-kolor-hematyt.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/613146937f99c8246f7026b031d96685","Miseczka na dip 80ml KERA Still, kolor hematyt",,13.46,6.7.4 HEM,"Szerokość 8,5 cm
wysokość 4 cm"
https://apspolska.pl/spodek-15cm-bel-kera-kolor-morski.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/42a7639f89c718e96965239917be04da","Spodek 15cm Bel Kera, kolor morski",,11.44,3.4.15 MOR,
https://apspolska.pl/spodek-15cm-bel-kera-kolor-seledynowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/9cc52cecb38234ab2e1138dc8e5136a1","Spodek 15cm Bel Kera, kolor seledynowy",,11.44,3.4.15 SEL,
https://apspolska.pl/filizanka-100ml-bel-kera-plus-spodek-11-cm-kolor-topaz.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/5f784204a0bfd70c1b14bed3ef0bbf3e","Filiżanka 100ml Bel Kera plus spodek 11 cm, kolor topaz",,30.58,3.4.100 TOP,"Szerokość  6 cm
wysokość 5,5 cm"
https://apspolska.pl/product/show/21648.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/557c7d578ceb8414b8528d7711ed11b1","Miska mała 16cm KERA Still, kolor morski",,30.06,14.8 MOR,"Szerokość 16cm
wysokość 6,5cm"
https://apspolska.pl/talerz-plytki-19cm-kera-still-kolor-seledynowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/f1596ffae23d3abcb4f28e8b1632184a","Talerz płytki 19cm KERA Still, kolor seledynowy",,22.50,7.3.2 SEL,"Szerokość 19 cm
wysokość 3 cm"
https://apspolska.pl/miska-musli-500ml-kera-still-kolor-agat.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/d2151b01598aed9552845039e23beea1","Miska musli 500ml KERA Still, kolor agat",,35.49,7.9 AGA,"Szerokość 13,5 cm
wysokość 7,5cm"
https://apspolska.pl/mlecznik-trio-kera-50ml-kolor-kremowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/291e5dc4ed1188184e6e209adb971d95","Mlecznik Trio Kera 50ml, kolor kremowy",,12.71,3.5.50 CRE,"Szerokość  4 cm
wysokość 5 cm"
https://apspolska.pl/talerz-plytki-19cm-kera-still-kolor-fioletowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/5a9cd5e4c5515e87115f28991b547b4e","Talerz płytki 19cm KERA Still, kolor fioletowy",,22.50,7.3.2 VIO,"Szerokość 19 cm
wysokość 3 cm"
